kinase	kinase_group	upregulated_set_hits	upregulated_set_size	downregulated_set_hits	downregulated_set_size	background_set_hits	background_set_size	upregulated_enrichment_value	upregulated_enrichment_value_log2	upregulated_p_value	upregulated_adjusted_p_value	upregulated_p_value_log10_abs	upregulated_adjusted_p_value_log10_abs	downregulated_enrichment_value	downregulated_enrichment_value_log2	downregulated_p_value	downregulated_adjusted_p_value	downregulated_p_value_log10_abs	downregulated_adjusted_p_value_log10_abs	dominant_direction	dominant_enrichment_value	dominant_enrichment_value_log2	dominant_p_value	dominant_adjusted_p_value	dominant_p_value_log10_abs	dominant_adjusted_p_value_log10_abs
PKACG	AGC	11	821	24	644	214	10640	0.6661582068824206	-0.5860632491531026	0.9356032121657233	0.9999999957465616	0.02890829581601214	1.8472448211683968e-9	1.852905323039415	0.8897891665939444	0.004753095167704666	0.060007826492271404	2.323023490061391	1.2217921032706922	downregulated set	0.5396929824561403	-0.8897891665939444	0.004753095167704666	0.060007826492271404	2.323023490061391	1.2217921032706922
ZAK	TKL	23	821	30	644	467	10640	0.638277339746014	-0.647744665041902	0.9911711376681978	0.9999999957465616	0.003851352852672103	1.8472448211683968e-9	1.0613536914626198	0.08590550817279152	0.4014025783265159	0.8776540363804979	0.3964198422387123	0.056676645484149024	downregulated set	0.9421929824561404	-0.08590550817279152	0.4014025783265159	0.8776540363804979	0.3964198422387123	0.056676645484149024
P38B	CMGC	84	821	84	644	971	10640	1.1211365908546385	0.16496205597031532	0.1602184475130311	0.7830030580072326	0.7952874808119145	0.10623654180786332	1.4292750638069225	0.5152835896335031	0.0009349255598595276	0.025752949512494263	3.0292229669127697	1.5891730235686898	downregulated set	0.6996553884711779	-0.5152835896335031	0.0009349255598595276	0.025752949512494263	3.0292229669127697	1.5891730235686898
P38A	CMGC	60	821	74	644	826	10640	0.9413902021098701	-0.08713525720017973	0.7006857601033294	0.9999999957465616	0.15447670849670242	1.8472448211683968e-9	1.4801558058743023	0.5657490464834392	0.0007903868378244031	0.023948721186079415	3.1021603005912626	1.6207176720889573	downregulated set	0.6756045519203415	-0.5657490464834392	0.0007903868378244031	0.023948721186079415	3.1021603005912626	1.6207176720889573
P38D	CMGC	88	821	78	644	963	10640	1.1842812566798588	0.24401174940458514	0.0649187471651506	0.447054099796378	1.1876298699997174	0.34963991798359983	1.3382093999729108	0.42030388329272406	0.00702156910704572	0.07278493267093782	2.153565825422385	1.1379585154002692	downregulated set	0.7472672064777328	-0.42030388329272406	0.00702156910704572	0.07278493267093782	2.153565825422385	1.1379585154002692
PKACA	AGC	15	821	22	644	239	10640	0.8133768901074819	-0.2980040937614829	0.8170728187052849	0.9999999957465616	0.08773923679363033	1.8472448211683968e-9	1.5208295433873023	0.6048584629304837	0.043090104074819155	0.2560059124445138	1.3656224569660513	0.5917500045616827	downregulated set	0.6575358851674641	-0.6048584629304837	0.043090104074819155	0.2560059124445138	1.3656224569660513	0.5917500045616827
PKACB	AGC	18	821	24	644	226	10640	1.032196867623123	0.045718157637871674	0.48409635617069763	0.9999999957465616	0.3150681863136957	1.8472448211683968e-9	1.7545209696036936	0.8110771905799034	0.008654654480510069	0.08194875961232971	2.0627502657670034	1.0864576155846044	downregulated set	0.5699561403508773	-0.8110771905799034	0.008654654480510069	0.08194875961232971	2.0627502657670034	1.0864576155846044
TBK1	Other	51	821	42	644	750	10640	0.881266747868453	-0.18234932480100058	0.8356910188095107	0.9999999957465616	0.07795426518047444	1.8472448211683968e-9	0.9252173913043478	-0.11213571033054806	0.7171978043103644	0.9999999209815102	0.14436104869344704	3.4317295423232916e-8	downregulated set	1.080827067669173	0.11213571033054806	0.7171978043103644	0.9999999209815102	0.14436104869344704	3.4317295423232916e-8
AKT2	AGC	3	821	13	644	73	10640	0.5325947307827074	-0.9088899395481139	0.9167879409687694	0.9999999957465616	0.03773110786050304	1.8472448211683968e-9	2.942227516378797	1.55690881153501	0.0011128847072142758	0.02593877432968658	2.95354982543545	1.5860505492399817	downregulated set	0.33987854251012145	-1.55690881153501	0.0011128847072142758	0.02593877432968658	2.95354982543545	1.5860505492399817
AKT3	AGC	5	821	16	644	84	10640	0.7714169711733657	-0.374417209280651	0.7734463592364973	0.9999999957465616	0.11156980051069582	1.8472448211683968e-9	3.146997929606625	1.6539762294951745	0.00015898082794286146	0.009634238173337405	3.798655245620755	2.016182621454469	downregulated set	0.31776315789473686	-1.6539762294951745	0.00015898082794286146	0.009634238173337405	3.798655245620755	2.016182621454469
P38G	CMGC	64	821	56	644	739	10640	1.1223647190874193	0.16654156446459611	0.19673670914258237	0.9170957364646533	0.7061145974238154	0.03758532556436601	1.2519856445255044	0.32421802018538803	0.057299125636851286	0.3100291976422489	1.2418520051528181	0.5085974036567137	downregulated set	0.7987312030075189	-0.32421802018538803	0.057299125636851286	0.3100291976422489	1.2418520051528181	0.5085974036567137
AKT1	AGC	3	821	11	644	62	10640	0.6270873443086715	-0.673261691054972	0.854015681840143	0.9999999957465616	0.06853415451695435	1.8472448211683968e-9	2.9312762973352036	1.5515289605243572	0.002691489565997659	0.0479718434410171	2.570007299459077	1.319013592335046	downregulated set	0.34114832535885165	-1.5515289605243572	0.002691489565997659	0.0479718434410171	2.570007299459077	1.319013592335046
DRAK1	CAMK	19	821	18	644	349	10640	0.7055481295087059	-0.5031835941553195	0.9523754572841115	0.9999999957465616	0.021191804891914464	1.8472448211683968e-9	0.8521240812258628	-0.23086457249340475	0.7812434701434352	0.9999999209815102	0.10721359959030066	3.4317295423232916e-8	downregulated set	1.1735380116959062	0.23086457249340475	0.7812434701434352	0.9999999209815102	0.10721359959030066	3.4317295423232916e-8
PDK1	AGC	27	821	29	644	488	10640	0.7170383977955712	-0.4798777167886705	0.9698388891284727	0.9999999957465616	0.013300405294449532	1.8472448211683968e-9	0.981824661439772	-0.02646269016137909	0.5674801818243658	0.9999999209815102	0.2460493007861311	3.4317295423232916e-8	downregulated set	1.0185117967332122	0.02646269016137909	0.5674801818243658	0.9999999209815102	0.2460493007861311	3.4317295423232916e-8
PKG1	AGC	17	821	29	644	395	10640	0.5577637644737046	-0.8422738832033786	0.9966410926417391	0.9999999957465616	0.0014612103421269508	1.8472448211683968e-9	1.212988442487617	0.2785658043370418	0.17791218176925663	0.6344506692999036	0.7497943144565887	0.19760214013147528	downregulated set	0.824410163339383	-0.2785658043370418	0.17791218176925663	0.6344506692999036	0.7497943144565887	0.19760214013147528
PKG2	AGC	18	821	27	644	345	10640	0.676163745167611	-0.564555431612472	0.9663006992299976	0.9999999957465616	0.014887706198388409	1.8472448211683968e-9	1.2930056710775046	0.370728602771872	0.11763484926962031	0.4950466573429854	0.9294639996593058	0.3053538675882693	downregulated set	0.7733918128654971	-0.370728602771872	0.11763484926962031	0.4950466573429854	0.9294639996593058	0.3053538675882693
DAPK1	CAMK	19	821	28	644	301	10640	0.8180607880350111	-0.2897200447053695	0.8344608954723854	0.9999999957465616	0.07859401042689183	1.8472448211683968e-9	1.5369059656218402	0.6200288975718371	0.022204847814389368	0.15291065653999952	1.653552199008991	0.8155622469928733	downregulated set	0.6506578947368421	-0.6200288975718371	0.022204847814389368	0.15291065653999952	1.653552199008991	0.8155622469928733
DAPK2	CAMK	11	821	27	644	300	10640	0.4751928542427934	-1.0734149532478363	0.9979269195498988	0.9999999957465616	0.0009012619173627741	1.8472448211683968e-9	1.4869565217391305	0.5723624639415227	0.0340687815107967	0.206456815955428	1.4676433989416737	0.6851707747753875	downregulated set	0.672514619883041	-0.5723624639415227	0.0340687815107967	0.206456815955428	1.4676433989416737	0.6851707747753875
DAPK3	CAMK	17	821	32	644	335	10640	0.6576617521406366	-0.6045823254840483	0.9719652605007368	0.9999999957465616	0.012349257133859145	1.8472448211683968e-9	1.5781959766385463	0.6582763669288001	0.010991225504246008	0.08793652616753513	1.9589538817294574	1.0558306946870792	downregulated set	0.6336348684210527	-0.6582763669288001	0.010991225504246008	0.08793652616753513	1.9589538817294574	1.0558306946870792
STLK3	STE	71	821	59	644	1229	10640	0.7486950066847768	-0.41754996225723245	0.9961567453975355	0.9999999957465616	0.001672319904380973	1.8472448211683968e-9	0.793151024162451	-0.3343324987368853	0.97493287528315	0.9999999209815102	0.011025284709326776	3.4317295423232916e-8	downregulated set	1.260793933987511	0.3343324987368853	0.97493287528315	0.9999999209815102	0.011025284709326776	3.4317295423232916e-8
