kinase	kinase_group	upregulated_set_hits	upregulated_set_size	downregulated_set_hits	downregulated_set_size	background_set_hits	background_set_size	upregulated_enrichment_value	upregulated_enrichment_value_log2	upregulated_p_value	upregulated_adjusted_p_value	upregulated_p_value_log10_abs	upregulated_adjusted_p_value_log10_abs	downregulated_enrichment_value	downregulated_enrichment_value_log2	downregulated_p_value	downregulated_adjusted_p_value	downregulated_p_value_log10_abs	downregulated_adjusted_p_value_log10_abs	dominant_direction	dominant_enrichment_value	dominant_enrichment_value_log2	dominant_p_value	dominant_adjusted_p_value	dominant_p_value_log10_abs	dominant_adjusted_p_value_log10_abs
PKACG	AGC	3	129	2	157	244	11819	1.126477316050324	0.17181826221851973	0.5008064083978949	1.0000000000550988	0.3003301224612912	2.3929111052634e-11	0.6170512686645088	-0.6965377319710093	0.8368350736661048	1.000000000018661	0.07736012582331776	8.104400894331518e-12	upregulated set	1.126477316050324	0.17181826221851973	0.5008064083978949	1.0000000000550988	0.3003301224612912	2.3929111052634e-11
ZAK	TKL	4	129	10	157	506	11819	0.7242700003064007	-0.46540047563406045	0.8066867949756014	1.0000000000550988	0.09329505216347926	2.3929111052634e-11	1.4877520706930842	0.5731341257849292	0.1403515621040783	0.8201935756885168	0.8527827493323137	0.08608363672367905	downregulated set	0.672155004653524	-0.5731341257849292	0.1403515621040783	0.8201935756885168	0.8527827493323137	0.08608363672367905
P38B	CMGC	10	129	16	157	1113	11819	0.8231819859726837	-0.2807166833943473	0.7827928724316792	1.0000000000550988	0.10635313738000943	2.3929111052634e-11	1.0821959356991204	0.11396172824991747	0.4101727732455129	1.000000000018661	0.3870331709341825	8.104400894331518e-12	downregulated set	0.9240470852017937	-0.11396172824991747	0.4101727732455129	1.000000000018661	0.3870331709341825	8.104400894331518e-12
P38A	CMGC	9	129	12	157	939	11819	0.8781484508507318	-0.1874632471512125	0.7042858835806547	1.0000000000550988	0.15225101634210852	2.3929111052634e-11	0.9620479843715024	-0.05581924134074144	0.59838264909987	1.000000000018661	0.22302100790668147	8.104400894331518e-12	downregulated set	1.0394491919790168	0.05581924134074144	0.59838264909987	1.000000000018661	0.22302100790668147	8.104400894331518e-12
P38D	CMGC	10	129	16	157	1103	11819	0.8306451046125085	-0.26769588164377045	0.7733114010776803	1.0000000000550988	0.11164558688825876	2.3929111052634e-11	1.092007322242177	0.12698253000049442	0.3960254843202001	1.000000000018661	0.4022768662373009	8.104400894331518e-12	downregulated set	0.9157447753617056	-0.12698253000049442	0.3960254843202001	1.000000000018661	0.4022768662373009	8.104400894331518e-12
PKACA	AGC	5	129	2	157	269	11819	1.7029768594564998	0.7680588313909881	0.17479793586576167	1.0000000000550988	0.7574637001192501	2.3929111052634e-11	0.5597044964837923	-0.8372627569647474	0.874220582144524	1.000000000018661	0.05837897294752413	8.104400894331518e-12	upregulated set	1.7029768594564998	0.7680588313909881	0.17479793586576167	1.0000000000550988	0.7574637001192501	2.3929111052634e-11
PKACB	AGC	4	129	4	157	260	11819	1.4095408467501491	0.49522528603179533	0.3186852929654743	1.0000000000550988	0.49663797835657403	2.3929111052634e-11	1.158157765801078	0.21183179256342252	0.4566591211489271	1.000000000018661	0.3404078634839648	8.104400894331518e-12	upregulated set	1.4095408467501491	0.49522528603179533	0.3186852929654743	1.0000000000550988	0.49663797835657403	2.3929111052634e-11
TBK1	Other	5	129	8	157	830	11819	0.5519286448118054	-0.857446332286675	0.9522569619721962	1.0000000000550988	0.021245843518625143	2.3929111052634e-11	0.7255928171283862	-0.4627679206424101	0.8668216295219051	1.000000000018661	0.06207026040619853	8.104400894331518e-12	downregulated set	1.378183433454607	0.4627679206424101	0.8668216295219051	1.000000000018661	0.06207026040619853	8.104400894331518e-12
AKT2	AGC	3	129	2	157	84	11819	3.2721483942414173	1.7102381770026456	0.06781654539842329	0.6421379142413205	1.1686643371267116	0.19237168694431253	1.7923870185016684	0.8418821828131169	0.3114514357923701	1.000000000018661	0.5066096626859192	8.104400894331518e-12	upregulated set	3.2721483942414173	1.7102381770026456	0.06781654539842329	0.6421379142413205	1.1686643371267116	0.19237168694431253
AKT3	AGC	1	129	2	157	102	11819	0.8982368141054871	-0.15483224291124595	0.6746788278605913	1.0000000000550988	0.17090291825375728	2.3929111052634e-11	1.4760834270013736	0.5617742636203812	0.3968354998723243	1.000000000018661	0.40138948392451734	8.104400894331518e-12	downregulated set	0.6774684829511803	-0.5617742636203812	0.3968354998723243	1.000000000018661	0.40138948392451734	8.104400894331518e-12
