kinase	kinase_group	upregulated_set_hits	upregulated_set_size	downregulated_set_hits	downregulated_set_size	background_set_hits	background_set_size	upregulated_enrichment_value	upregulated_enrichment_value_log2	upregulated_p_value	upregulated_adjusted_p_value	upregulated_p_value_log10_abs	upregulated_adjusted_p_value_log10_abs	downregulated_enrichment_value	downregulated_enrichment_value_log2	downregulated_p_value	downregulated_adjusted_p_value	downregulated_p_value_log10_abs	downregulated_adjusted_p_value_log10_abs	dominant_direction	dominant_enrichment_value	dominant_enrichment_value_log2	dominant_p_value	dominant_adjusted_p_value	dominant_p_value_log10_abs	dominant_adjusted_p_value_log10_abs
PKACG	AGC	1	169	0	35	248	11901	0.2839520900935293	-1.816280563802623	0.9712145908866886	0.9999999999943993	0.012684801666289646	2.4323713852674953e-12	0.6855414746543779	-0.5446841444654049	0.9999999999940464	1.0000000000627258	2.5856030197036978e-12	2.7241479467302745e-11	downregulated set	1.458700949500042	0.5446841444654049	0.9999999999940464	1.0000000000627258	2.5856030197036978e-12	2.7241479467302745e-11
ZAK	TKL	8	169	2	35	510	11901	1.1046293073442395	0.14356230972539452	0.4399382251581271	0.9999999999943993	0.3566083015966436	2.4323713852674953e-12	1.3334453781512605	0.4151587290626124	0.4465245582891018	1.0000000000627258	0.3501546504682877	2.7241479467302745e-11	downregulated set	0.7499369800857071	-0.4151587290626124	0.4465245582891018	1.0000000000627258	0.3501546504682877	2.7241479467302745e-11
P38B	CMGC	18	169	4	35	1117	11901	1.1347915220926723	0.18242727754325017	0.3244982770588167	0.9999999999943993	0.488787604767572	2.4323713852674953e-12	1.21764931576928	0.2840986954381556	0.4199222536202802	1.0000000000627258	0.37683110948113874	2.7241479467302745e-11	downregulated set	0.8212545164271909	-0.2840986954381556	0.4199222536202802	1.0000000000627258	0.37683110948113874	2.7241479467302745e-11
P38A	CMGC	16	169	5	35	939	11901	1.1999168194793657	0.2629343989304781	0.2625833036908537	0.9803723596091999	0.5807328919002176	0.008608941645194813	1.8105887722501142	0.8564589131550583	0.13907958789248565	1.0000000000627258	0.856736604847311	2.7241479467302745e-11	downregulated set	0.5523065288631207	-0.8564589131550583	0.13907958789248565	1.0000000000627258	0.856736604847311	2.7241479467302745e-11
P38D	CMGC	19	169	3	35	1107	11901	1.2086560510575521	0.2734037532462859	0.22812035462022084	0.968232150709132	0.6418359619620619	0.014020500455984254	0.921486643437863	-0.11796484013892564	0.6443273516073728	1.0000000000627258	0.1908934325213768	2.7241479467302745e-11	upregulated set	1.2086560510575521	0.2734037532462859	0.22812035462022084	0.968232150709132	0.6418359619620619	0.014020500455984254
PKACA	AGC	1	169	0	35	275	11901	0.25607315761161914	-1.9653720618277697	0.9804955337240624	0.9999999999943993	0.008554380255668941	2.4323713852674953e-12	0.6182337662337662	-0.6937756424905517	1.0000000000014093	1.0000000000627258	6.1205864302094e-13	2.7241479467302745e-11	downregulated set	1.6175111335181918	0.6937756424905517	1.0000000000014093	1.0000000000627258	6.1205864302094e-13	2.7241479467302745e-11
PKACB	AGC	1	169	0	35	267	11901	0.263745761585001	-1.9227801851033013	0.9781092770697623	0.9999999999943993	0.00961262192282369	2.4323713852674953e-12	0.6367576243980738	-0.6511837657660836	0.999999999947003	1.0000000000627258	2.3016326890437118e-11	2.7241479467302745e-11	downregulated set	1.5704562641794808	0.6511837657660836	0.999999999947003	1.0000000000627258	2.3016326890437118e-11	2.7241479467302745e-11
TBK1	Other	10	169	2	35	831	11901	0.8474141798218444	-0.23886082529872962	0.7484909735763878	0.9999999999943993	0.1258134326617483	2.4323713852674953e-12	0.8183599793708097	-0.28919250084887416	0.7121919582516054	1.0000000000627258	0.14740293449028288	2.7241479467302745e-11	upregulated set	0.8474141798218444	-0.23886082529872962	0.7484909735763878	0.9999999999943993	0.1258134326617483	2.4323713852674953e-12
AKT2	AGC	1	169	0	35	88	11901	0.8002286175363098	-0.3215158720530449	0.7162279093798413	0.9999999999943993	0.14494875976436034	2.4323713852674953e-12	1.9319805194805195	0.9500805472841731	0.9999999999818067	1.0000000000627258	7.901265313649561e-12	2.7241479467302745e-11	downregulated set	0.5176035627258213	-0.9500805472841731	0.9999999999818067	1.0000000000627258	7.901265313649561e-12	2.7241479467302745e-11
AKT3	AGC	10	169	0	35	95	11901	7.412644036125817	2.889988233140667	0.0000020367020151169703	0.000205706903526814	5.691072506913922	3.686751133131279	1.789624060150376	0.8396565575905225	0.9999999999842163	1.0000000000627258	6.854777146928156e-12	2.7241479467302745e-11	upregulated set	7.412644036125817	2.889988233140667	0.0000020367020151169703	0.000205706903526814	5.691072506913922	3.686751133131279
P38G	CMGC	9	169	1	35	849	11901	0.7465030213059569	-0.42177999552647366	0.8572048202172423	0.9999999999943993	0.06691539550717565	2.4323713852674953e-12	0.4005047955577991	-1.3201085776315682	0.9249416525539026	1.0000000000627258	0.033885662691354804	2.7241479467302745e-11	upregulated set	0.7465030213059569	-0.42177999552647366	0.8572048202172423	0.9999999999943993	0.06691539550717565	2.4323713852674953e-12
AKT1	AGC	5	169	0	35	71	11901	4.9591632636053	2.3100967219669326	0.0042078189766892905	0.07083161944093638	2.3759429521043174	1.1497728287053186	2.3945674044265592	1.2597650464167882	1.0000000000055613	1.0000000000627258	2.415254572722647e-12	2.7241479467302745e-11	upregulated set	4.9591632636053	2.3100967219669326	0.0042078189766892905	0.07083161944093638	2.3759429521043174	1.1497728287053186
