Plate	Plate position	ID	MS_ID
1	A01	1	1
1	A02	2	2
1	A03	3	3
1	A04	4	4
1	A05	5	5
1	A06	6	6
1	A07	7	7
1	A08	8	8
1	A09	9	9
1	A10	10	10
1	A11	11	11
1	A12	12	12
1	B01	13	13
1	B02	14	14
1	B03	15	15
1	B04	16	16
1	B05	17	17
1	B06	18	18
1	B07	19	19
1	B08	20	20
1	B09	21	21
1	B10	22	22
1	B11	23	23
1	B12	24	24
1	C01	25	25
1	C02	26	26
1	C03	27	27
1	C04	28	28
1	C05	29	29
1	C06	30	30
1	C07	31	31
1	C08	32	32
1	C09	33	33
1	C10	34	34
1	C11	35	35
1	C12	36	36
1	D01	37	37
1	D02	38	38
1	D03	40	39
1	D04	41	40
1	D05	42	41
1	D06	43	42
1	D07	44	43
1	D08	45	44
1	D09	46	45
1	D10	47	46
1	D11	48	47
1	D12	49	48
1	E01	50	49
1	E02	51	50
1	E03	52	51
1	E04	53	52
1	E05	54	53
1	E06	55	54
1	E07	56	55
1	E08	57	56
1	E09	58	57
1	E10	59	58
1	E11	60	59
1	E12	61	60
1	F01	62	61
1	F02	63	62
1	F03	64	63
1	F04	65	64
1	F05	66	65
1	F06	67	66
1	F07	68	67
1	F08	69	68
1	F09	70	69
1	F10	71	70
1	F11	72	71
1	F12	73	72
1	G01	74	73
1	G02	75	74
1	G03	76	75
1	G04	77	76
1	G05	78	77
1	G06	79	78
1	G07	80	79
2	A01	81	80
2	A02	82	81
2	A03	83	82
2	A04	84	83
2	A05	85	84
2	A06	86	85
2	A07	87	86
2	A08	88	87
2	A09	89	88
2	A10	90	89
2	A11	91	90
2	A12	92	91
2	B01	93	92
2	B02	94	93
2	B03	95	94
2	B04	96	95
2	B05	97	96
2	B06	98	97
2	B07	99	98
2	B08	100	99
2	B09	101	100
2	B10	102	101
2	B11	103	102
2	B12	104	103
2	C01	105	104
2	C02	106	105
2	C03	107	106
2	C04	108	107
2	C05	109	108
2	C06	110	109
2	C07	111	110
2	C08	112	111
2	C09	113	112
2	C10	114	113
2	C11	115	114
2	C12	116	115
2	D01	117	116
2	D02	118	117
2	D03	119	118
2	D04	120	119
2	D05	121	120
2	D06	122	121
2	D07	123	122
2	D08	124	123
2	D09	125	124
2	D10	126	125
2	D11	127	126
2	D12	128	127
2	E01	129	128
2	E02	130	129
2	E03	133	130
2	E04	134	131
2	E05	135	132
2	E06	136	133
2	E07	137	134
2	E08	138	135
2	E09	139	136
2	E10	140	137
2	E11	142	138
2	E12	143	139
2	F01	144	140
2	F02	145	141
2	F03	146	142
2	F04	147	143
2	F05	148	144
2	F06	149	145
2	F07	150	146
2	F08	151	147
2	F09	152	148
2	F10	153	149
2	F11	154	150
